customer_key,customer_name,industry,vertical,address,city,state,zip
1,Bailey and Sons,Retailer,Retail,4624 Carl Mountain,Moorebury,MT,18869
2,Oliver Ltd,Tech,Tech,655 Smith Islands Apt. 390,South Diane,VI,32415
3,Santos-Edwards,Manufacturing,Manufacturing,7050 Williams Mission Apt. 082,Hannachester,AZ,42001
4,"Ramos, Stephens and Krueger",Retailer,Retail,43668 Michael Garden,Chenmouth,MO,88759
5,"Kirby, Rivers and Conway",Tech,Tech,948 Kelly Fields,New Patricia,RI,83708
6,Smith Ltd,Manufacturing,Manufacturing,4552 Ewing Place,Markville,MO,34412
7,"Holden, Hernandez and Ward",Retailer,Retail,44799 Lewis Cove Apt. 734,North Danielview,MP,89003
8,Montgomery Group,Tech,Tech,614 Warren Course,Joanneborough,WY,97038
9,"Howard, Stout and Moreno",Manufacturing,Manufacturing,24538 Brian Ranch Apt. 460,New Courtneymouth,WA,63257
10,Palmer-Barton,Retailer,Retail,0283 Kristina Stravenue,West Sandramouth,UT,17516
11,Fletcher-Miller,Tech,Tech,5203 Christopher Freeway,Johnview,GA,76523
12,Haynes-Clarke,Manufacturing,Manufacturing,92205 Jackson Ways Suite 649,Jessicaville,IL,92360
13,Reed-Medina,Retailer,Retail,89741 Jaclyn Ports Apt. 659,West Rebecca,NM,67621
14,Roberts-Allen,Tech,Tech,5172 Kent Plaza,Thompsonshire,AS,67480
15,Lucas PLC,Manufacturing,Manufacturing,576 Burgess Stream,Boydstad,WI,69861
16,Perez-Crane,Retailer,Retail,1580 Martinez Divide Suite 527,South Alicia,ND,40707
17,Romero-Harvey,Tech,Tech,6042 Kevin Heights Apt. 549,New Leslieborough,MO,44461
18,Williams-Rodriguez,Manufacturing,Manufacturing,0939 Sarah Causeway Apt. 888,Charlesport,PA,53135
19,Vargas-Scott,Retailer,Retail,8567 Perez Station Suite 170,Murphyfort,CO,92744
20,Richardson Group,Tech,Tech,959 Rivera Square Suite 934,Reyesview,CA,49931
21,Galvan PLC,Manufacturing,Manufacturing,861 Sandra Drives Apt. 382,Elizabethhaven,MH,18126
22,"Smith, Sanders and Palmer",Retailer,Retail,987 Jason Spur,Dylanfort,MT,97995
23,Powers LLC,Tech,Tech,1713 Becker Mountains Apt. 950,Jennifertown,ND,17321
24,Montgomery Inc,Manufacturing,Manufacturing,4715 Page View Suite 884,Wayneton,TN,96234
25,"Hansen, Bowen and Miller",Retailer,Retail,4225 Eddie Loop,North Katiefort,CO,41311
26,"Kennedy, Hansen and Thomas",Tech,Tech,8711 Tony Plain,North Melissaport,NJ,17394
27,Patterson-Henderson,Manufacturing,Manufacturing,0694 Andrew Garden,East Deniseton,FL,68169
28,Miller LLC,Retailer,Retail,780 Matthew Bypass Apt. 536,East Renee,NV,06277
29,Martin-Robinson,Tech,Tech,937 Eric Squares,Heidichester,VA,52486
30,"Gomez, Fleming and Becker",Manufacturing,Manufacturing,430 Anthony Street,Juareztown,NV,27452
31,"Harmon, Briggs and Porter",Retailer,Retail,046 Reyes Forge,Shannonfort,AK,05665
32,"Reed, Thomas and Fitzgerald",Tech,Tech,45061 Oneill Square,Emilyshire,RI,93155
33,Davidson Group,Manufacturing,Manufacturing,095 Stephanie Club Apt. 338,Baldwinside,MI,83413
34,"Diaz, Nelson and Montgomery",Retailer,Retail,46959 Jose Lights Suite 501,Lake Michelle,IN,35489
35,Stephenson-Wallace,Tech,Tech,664 Strong Underpass,Bergerport,TN,26380
36,"Larson, Gonzalez and Robinson",Manufacturing,Manufacturing,4738 Lisa Valleys Apt. 116,Lake Deborahfort,KS,49952
37,"Neal, Clayton and Ramos",Retailer,Retail,08398 Laura Crest,East Jennifer,ND,06300
38,Patel and Sons,Tech,Tech,7194 Michelle Field,Taylorfurt,IN,99570
39,Browning-Guerrero,Manufacturing,Manufacturing,653 Clark Mount,Zhangshire,WV,51288
