hr_fact_id,date,employee_key,department_key,job_key,location_key,salary,attrition_flag
1,2018-02-24,1,10,806,906,47652,0
2,2019-08-18,1,10,806,906,49284,1
3,2020-08-08,2,31,808,907,41893,0
4,2021-06-04,2,31,800,907,60000,0
5,2021-12-01,2,31,807,908,70525,0
6,2022-06-29,2,31,807,908,72177,0
7,2023-01-25,2,31,807,908,74469,0
8,2023-08-23,2,31,807,908,78079,0
9,2020-05-30,3,29,800,901,73788,0
10,2021-08-23,3,32,805,901,91512,0
11,2022-06-19,3,32,810,901,90000,0
12,2023-01-15,3,32,809,903,105000,0
13,2024-03-10,3,32,805,903,129373,0
14,2015-09-20,4,32,808,904,46005,0
15,2017-03-13,4,32,808,904,46943,0
16,2018-05-07,4,32,810,904,52366,0
17,2018-12-03,4,32,810,904,53820,1
18,2015-05-07,5,32,803,905,51739,0
19,2016-08-29,5,32,803,905,54081,0
20,2017-06-25,5,32,803,905,57450,0
21,2018-01-21,5,32,803,905,60981,0
22,2018-07-20,5,33,802,905,72906,0
23,2021-07-03,6,10,808,901,41177,0
24,2022-11-25,6,10,808,901,43123,0
25,2023-10-21,6,21,802,901,52000,0
26,2025-04-13,6,21,802,901,53143,0
27,2020-05-16,7,17,810,901,58244,0
28,2021-07-10,7,17,810,901,60592,1
29,2015-05-15,8,39,802,903,69739,0
30,2016-11-05,8,39,802,903,74207,0
31,2017-05-04,8,39,805,903,90336,0
32,2018-09-26,8,39,805,903,93347,0
33,2020-03-19,8,39,805,903,96999,0
34,2020-09-15,8,39,805,903,100017,1
35,2017-08-15,9,36,804,903,66120,0
36,2018-12-08,9,34,805,903,75495,0
37,2020-04-01,9,34,810,903,90000,0
38,2018-02-01,10,28,802,904,58997,0
39,2019-04-27,10,28,805,909,72000,0
40,2020-01-22,10,28,806,909,75000,0
41,2019-03-12,11,16,810,905,59175,0
42,2020-07-04,11,16,810,905,62202,0
43,2021-10-27,11,16,810,905,65684,0
44,2022-08-23,11,16,810,905,76276,0
45,2023-04-20,11,16,810,905,90000,0
46,2024-07-13,11,19,806,905,75000,0
47,2019-01-27,12,30,809,905,69509,0
48,2020-02-21,12,30,809,905,72675,0
49,2021-08-14,12,30,809,905,77021,0
50,2022-04-11,12,30,809,905,79654,0
51,2023-08-04,12,30,809,905,82582,1
52,2019-02-02,13,19,810,903,63678,0
53,2019-09-30,13,19,803,903,79444,0
54,2018-03-15,14,28,810,903,62620,0
55,2019-03-10,14,28,803,903,70268,0
56,2020-08-31,14,28,803,903,74408,0
57,2021-05-28,14,28,808,903,67500,0
58,2021-11-02,15,35,802,907,67178,0
59,2022-12-27,15,35,807,907,80069,0
60,2024-02-20,15,35,802,907,97007,0
61,2024-11-16,15,35,802,907,100292,0
62,2018-11-18,16,30,807,903,81168,0
63,2019-06-16,16,30,807,903,83743,0
64,2020-05-11,16,22,808,903,67500,0
65,2021-10-03,16,22,806,903,75000,0
