campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2022-01-18,61,82,604,403,107.92,50,3031
2,2022-01-25,20,15,602,400,159.38,12,4363
3,2022-01-07,35,4,600,400,103.79,8,222
4,2022-01-07,100,32,600,401,85.18,5,299
5,2022-01-08,64,95,603,401,88.27,29,126
6,2022-01-08,56,14,602,400,184.61,43,6544
7,2022-01-06,67,87,600,400,85.96,13,212
8,2022-01-01,98,70,603,403,176.54,39,1368
9,2022-01-25,53,12,600,403,52.59,12,134
10,2022-01-02,88,5,600,401,145.62,12,226
11,2022-01-28,18,28,600,402,99.79,9,191
12,2022-01-06,40,78,604,400,108.01,13,1253
13,2022-01-06,54,4,604,402,152.15,40,9796
14,2022-01-22,94,72,600,401,128.5,8,308
15,2022-01-03,10,84,600,401,78.94,22,140
16,2022-01-14,93,54,600,403,129.51,7,222
17,2022-01-29,58,76,600,401,111.92,23,241
18,2022-01-27,26,1,600,402,75.98,18,330
19,2022-01-15,30,21,603,402,162.91,46,252
20,2022-01-17,70,90,600,401,96.85,6,334
21,2022-01-28,52,36,600,403,95.91,5,194
22,2022-01-19,38,98,602,400,84.34,38,1901
23,2022-01-17,55,44,602,400,53.45,20,4191
24,2022-01-13,78,14,603,401,152.49,26,785
25,2022-01-23,23,12,602,401,71.76,32,9204
26,2022-01-03,23,49,600,401,57.12,7,322
27,2022-01-28,43,45,600,403,124.34,11,207
28,2022-01-29,84,6,603,403,153.28,16,7877
29,2022-01-17,42,94,600,402,141.52,12,236
30,2022-01-12,54,16,600,403,157.95,21,219
31,2022-01-01,34,49,602,401,106.19,12,8595
32,2022-01-14,92,11,600,403,182.52,5,223
33,2022-01-08,13,81,602,403,187.17,42,3003
34,2022-01-19,54,80,602,403,185.43,38,2450
35,2022-01-21,91,47,604,402,159.56,32,8049
36,2022-01-22,98,74,600,402,170.01,22,271
37,2022-01-11,5,9,600,401,124.81,11,250
38,2022-01-22,14,30,600,400,72.98,22,269
39,2022-01-02,39,11,600,402,65.13,18,172
40,2022-01-21,25,13,603,402,163.23,16,9030
41,2022-01-16,10,49,602,403,124.97,50,8104
42,2022-01-01,72,36,602,403,121.62,16,751
43,2022-01-22,97,59,603,402,182.11,42,5449
44,2022-01-15,44,82,600,401,172.27,12,121
45,2022-01-12,32,21,602,403,173.33,52,5141
46,2022-01-20,61,48,603,403,186.49,14,1866
47,2022-01-10,35,46,600,403,189.89,19,207
48,2022-01-04,35,35,604,401,135.69,47,7177
49,2022-01-19,13,90,600,402,161.28,23,355
50,2022-01-23,20,83,600,401,187.45,13,277
51,2022-01-05,10,82,603,401,114.03,34,299
52,2022-01-06,71,22,600,400,92.91,5,157
53,2022-01-27,88,32,603,403,99.45,17,3677
54,2022-01-11,9,21,603,402,122.51,42,9956
55,2022-01-22,75,60,604,403,185.74,27,5977
56,2022-01-24,54,49,604,402,86.79,54,9434
57,2022-01-18,35,35,600,400,152.48,10,249
58,2022-01-10,60,82,600,400,86.34,18,311
59,2022-01-10,28,29,600,400,142.39,15,307
60,2022-01-27,58,99,603,403,142.29,22,8960
61,2022-01-10,3,100,600,402,186.9,13,140
62,2022-01-25,39,5,602,401,123.54,46,4510
63,2022-01-13,27,41,603,401,59.31,49,3087
64,2022-01-15,49,52,600,401,137.23,9,280
65,2022-01-19,97,28,600,401,104.34,11,323
66,2022-01-10,92,73,602,401,70.85,34,2576
67,2022-01-03,56,92,600,401,138.0,15,177
68,2022-01-08,53,84,603,401,95.14,17,8190
69,2022-01-14,27,64,600,402,181.83,8,141
70,2022-01-13,87,83,600,401,125.83,7,355
71,2022-01-07,81,34,600,401,98.67,17,208
72,2022-01-15,14,96,600,402,72.23,8,168
73,2022-01-27,41,34,600,402,170.3,16,338
74,2022-01-26,86,55,603,401,58.14,29,5254
75,2022-01-23,76,75,600,400,83.14,16,178
