sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
1,2022-01-01,472,20,188,402,500,69133.46,14
2,2022-01-01,518,48,35,402,495,63927.25,15
3,2022-01-02,666,69,111,401,158,78075.28,1
4,2022-01-02,310,36,25,400,236,20903.71,1
5,2022-01-02,665,15,192,403,56,165596.69,14
6,2022-01-02,408,84,174,402,182,31013.96,17
7,2022-01-02,417,45,41,401,91,133172.83,13
8,2022-01-03,98,38,64,402,971,216941.42,5
9,2022-01-03,946,95,100,403,879,87643.3,5
10,2022-01-03,193,31,142,403,182,52325.22,2
11,2022-01-03,202,50,53,403,817,21718.8,15
12,2022-01-03,581,55,58,403,883,44974.5,12
13,2022-01-04,349,79,35,400,587,169554.44,20
14,2022-01-04,729,93,94,403,148,163525.0,20
15,2022-01-04,466,17,29,402,980,22344.31,5
16,2022-01-05,317,10,82,400,990,43155.43,20
17,2022-01-05,373,53,150,402,509,90271.18,1
18,2022-01-05,818,6,53,403,23,90917.86,2
19,2022-01-06,42,21,24,400,218,182956.24,18
20,2022-01-06,900,55,9,400,550,77167.84,9
21,2022-01-07,56,61,162,402,881,217164.74,3
22,2022-01-07,495,7,171,400,700,9416.36,4
23,2022-01-07,858,60,69,400,177,41826.96,5
24,2022-01-08,922,16,31,400,937,16781.49,15
25,2022-01-08,184,95,80,400,874,140015.74,7
26,2022-01-08,493,58,129,401,550,15873.82,9
27,2022-01-08,951,72,91,400,347,193447.29,9
28,2022-01-09,774,49,190,403,246,262061.08,5
29,2022-01-09,645,77,116,402,958,174799.97,13
30,2022-01-09,51,2,97,400,764,99243.71,1
31,2022-01-09,748,64,177,401,963,63122.86,17
32,2022-01-09,523,4,163,403,123,255244.69,13
33,2022-01-09,21,53,131,401,331,83850.94,11
34,2022-01-10,45,9,28,402,77,26813.12,12
35,2022-01-10,27,20,25,401,55,58109.25,3
36,2022-01-11,677,38,175,400,476,18051.35,10
37,2022-01-11,781,84,167,403,265,306935.09,12
38,2022-01-12,93,32,36,402,933,154533.63,20
39,2022-01-12,235,11,42,401,563,167489.03,6
40,2022-01-12,236,42,30,402,710,194485.23,5
41,2022-01-12,187,33,61,402,316,126290.38,3
42,2022-01-13,568,21,174,401,622,171227.2,5
43,2022-01-13,829,30,142,402,41,29248.86,10
44,2022-01-14,202,31,3,401,797,106013.81,20
45,2022-01-14,55,17,171,403,754,327818.56,1
46,2022-01-14,233,34,33,402,587,218282.0,10
47,2022-01-14,372,7,98,402,756,158689.58,2
48,2022-01-14,488,59,5,403,440,109027.83,11
49,2022-01-14,975,75,199,402,891,128390.68,20
50,2022-01-15,473,69,36,402,339,21852.79,18
51,2022-01-15,877,43,29,400,381,157598.37,17
52,2022-01-15,358,88,30,403,903,204623.4,1
53,2022-01-15,27,35,13,403,446,56568.86,5
54,2022-01-15,688,23,196,401,505,22535.05,5
55,2022-01-16,336,28,60,402,785,16713.57,2
56,2022-01-16,341,71,172,400,976,13050.08,4
57,2022-01-16,591,73,65,400,598,158223.41,9
58,2022-01-16,33,64,100,400,677,53509.71,4
59,2022-01-16,796,97,99,401,247,73522.26,17
60,2022-01-16,613,84,37,402,763,187156.38,9
61,2022-01-17,213,67,61,400,165,150409.09,6
62,2022-01-17,476,21,85,402,580,197300.6,9
63,2022-01-17,788,83,187,400,607,184675.51,18
64,2022-01-18,421,63,166,402,328,62206.58,3
65,2022-01-18,180,49,100,402,488,154421.74,11
66,2022-01-18,896,30,114,401,604,6023.4,5
67,2022-01-18,578,76,8,401,129,61173.99,9
68,2022-01-19,830,64,75,400,665,189266.45,13
69,2022-01-19,762,67,13,401,317,89325.13,10
70,2022-01-19,499,86,135,401,203,128584.22,12
71,2022-01-19,321,98,134,400,246,123331.95,10
72,2022-01-20,563,42,34,401,505,166319.9,16
73,2022-01-20,23,67,30,401,118,132003.46,16
74,2022-01-20,408,31,197,403,102,295273.98,1
75,2022-01-20,239,55,87,402,977,26187.61,4
76,2022-01-21,124,21,49,401,904,63955.63,16
77,2022-01-21,12,52,110,400,265,113212.15,11
78,2022-01-21,348,50,109,401,566,50916.49,7
79,2022-01-22,678,87,105,403,116,43370.61,4
80,2022-01-22,940,92,64,401,263,44449.95,5
81,2022-01-22,9,72,45,401,220,62821.62,13
82,2022-01-22,433,18,51,403,982,84402.24,9
83,2022-01-22,216,52,168,402,901,150645.66,14
84,2022-01-22,408,99,182,400,822,28815.96,1
85,2022-01-22,833,83,177,401,89,125342.23,11
86,2022-01-23,992,58,132,402,32,157393.66,16
87,2022-01-23,19,89,174,403,965,288557.84,19
88,2022-01-23,171,54,116,403,470,196570.87,5
89,2022-01-23,197,95,141,403,904,109128.09,9
90,2022-01-23,747,96,188,403,292,18644.76,20
91,2022-01-23,16,80,101,403,38,65456.71,7
92,2022-01-23,581,70,78,402,610,77266.7,15
93,2022-01-24,240,44,95,400,316,82071.41,7
94,2022-01-24,211,26,83,402,589,8267.46,19
95,2022-01-24,191,23,5,402,469,154019.55,18
96,2022-01-24,689,91,190,403,268,298916.07,5
97,2022-01-25,666,88,29,403,703,131147.43,16
98,2022-01-25,856,87,159,402,52,66139.21,8
99,2022-01-25,459,13,181,400,783,17524.01,18
100,2022-01-25,120,42,129,401,169,107909.41,6
101,2022-01-25,321,78,5,403,229,219893.34,14
102,2022-01-25,755,2,134,402,155,42588.31,18
103,2022-01-25,300,40,26,401,290,123251.69,7
104,2022-01-25,702,97,46,403,424,181066.92,9
105,2022-01-26,240,30,35,402,764,209210.15,7
106,2022-01-26,547,51,164,400,711,162384.71,9
107,2022-01-26,849,6,165,401,591,89679.4,13
108,2022-01-26,312,45,124,400,429,78789.41,8
109,2022-01-26,866,29,22,400,728,73846.76,7
110,2022-01-26,890,82,6,403,865,146250.36,13
111,2022-01-26,675,17,94,403,184,220661.91,3
112,2022-01-27,666,58,176,400,266,145525.05,10
113,2022-01-27,880,86,141,403,359,24458.57,16
114,2022-01-27,134,40,10,402,338,185726.25,17
115,2022-01-27,229,44,59,401,742,74850.97,5
116,2022-01-28,654,85,80,402,332,29494.51,18
117,2022-01-28,31,41,176,401,346,159570.03,4
118,2022-01-28,283,74,168,402,556,9987.9,15
119,2022-01-28,543,76,132,402,965,97041.52,7
120,2022-01-28,213,74,186,402,386,222572.16,20
121,2022-01-28,805,43,139,402,620,192854.11,14
122,2022-01-29,939,84,100,403,423,312982.92,16
123,2022-01-29,766,4,121,403,223,131615.22,16
124,2022-01-29,110,34,63,403,79,108459.78,10
125,2022-01-29,89,52,187,403,449,243215.8,13
126,2022-01-29,722,42,176,400,377,190712.17,1
127,2022-02-01,514,32,50,400,498,104674.86,10
128,2022-02-01,340,93,129,401,174,73238.93,9
129,2022-02-01,255,44,81,401,758,123039.08,3
130,2022-02-01,537,9,55,403,200,321737.24,15
131,2022-02-01,237,99,50,403,454,149725.2,13
132,2022-02-01,965,45,87,403,546,205124.69,12
133,2022-02-02,48,99,73,400,894,190888.03,12
134,2022-02-02,983,62,194,400,526,86994.53,7
135,2022-02-02,743,20,99,402,768,195088.64,6
136,2022-02-02,859,44,190,400,706,51497.33,4
137,2022-02-03,335,72,96,401,123,84807.46,20
138,2022-02-03,337,28,171,403,27,298348.02,19
139,2022-02-03,995,3,67,403,269,113872.79,16
140,2022-02-03,243,59,24,401,981,152890.89,1
141,2022-02-04,936,22,2,403,685,36754.73,2
142,2022-02-04,432,87,10,402,233,29740.38,15
143,2022-02-04,832,42,77,403,898,93156.57,11
144,2022-02-04,443,99,44,402,795,37181.12,17
145,2022-02-04,851,33,104,403,82,170875.94,1
146,2022-02-05,864,3,153,400,781,145349.2,19
147,2022-02-06,984,65,132,403,349,46979.2,18
148,2022-02-06,320,49,38,402,811,81422.88,7
149,2022-02-06,182,10,22,403,167,192293.97,19
150,2022-02-06,662,74,110,402,77,215377.3,15
151,2022-02-06,594,1,109,402,470,203020.89,18
152,2022-02-07,698,40,143,403,477,245287.5,5
153,2022-02-07,237,38,102,403,905,35986.16,20
154,2022-02-07,808,82,107,400,626,108386.74,4
155,2022-02-07,486,64,156,402,548,88506.08,19
156,2022-02-07,255,28,116,402,44,8446.11,15
157,2022-02-08,712,4,76,401,69,75435.77,14
158,2022-02-08,561,55,7,401,486,23243.61,17
159,2022-02-08,681,6,111,400,610,23638.82,16
160,2022-02-08,666,40,100,401,777,120558.91,15
161,2022-02-08,583,2,72,402,920,12177.76,14
162,2022-02-08,868,1,33,401,382,83461.07,5
163,2022-02-09,687,40,99,403,864,96898.69,19
164,2022-02-09,74,11,154,401,786,118680.99,1
165,2022-02-09,652,52,127,400,463,106140.12,6
