account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,Bailey and Sons,1,Retailer,Retail,4624 Carl Mountain,Moorebury,MT,18869,Prospect,7571301,10,2021-07-17
ACC000002,Oliver Ltd,2,Tech,Tech,655 Smith Islands Apt. 390,South Diane,VI,32415,Customer,15079419,50,2020-07-28
ACC000003,Santos-Edwards,3,Manufacturing,Manufacturing,7050 Williams Mission Apt. 082,Hannachester,AZ,42001,Prospect,49805370,5000,2020-06-27
ACC000004,"Ramos, Stephens and Krueger",4,Retailer,Retail,43668 Michael Garden,Chenmouth,MO,88759,Prospect,28414694,10,2020-03-02
ACC000005,"Kirby, Rivers and Conway",5,Tech,Tech,948 Kelly Fields,New Patricia,RI,83708,Customer,14772546,100,2022-10-31
ACC000006,Smith Ltd,6,Manufacturing,Manufacturing,4552 Ewing Place,Markville,MO,34412,Prospect,1880798,5000,2021-02-11
ACC000007,"Holden, Hernandez and Ward",7,Retailer,Retail,44799 Lewis Cove Apt. 734,North Danielview,MP,89003,Prospect,43713006,5000,2022-05-09
ACC000008,Montgomery Group,8,Tech,Tech,614 Warren Course,Joanneborough,WY,97038,Customer,30245908,250,2020-01-14
ACC000009,"Howard, Stout and Moreno",9,Manufacturing,Manufacturing,24538 Brian Ranch Apt. 460,New Courtneymouth,WA,63257,Customer,46951341,1000,2021-11-27
ACC000010,Palmer-Barton,10,Retailer,Retail,0283 Kristina Stravenue,West Sandramouth,UT,17516,Partner,10534052,100,2021-11-20
ACC000011,Fletcher-Miller,11,Tech,Tech,5203 Christopher Freeway,Johnview,GA,76523,Customer,6324068,1000,2020-07-17
ACC000012,Haynes-Clarke,12,Manufacturing,Manufacturing,92205 Jackson Ways Suite 649,Jessicaville,IL,92360,Partner,23182477,250,2020-03-29
ACC000013,Reed-Medina,13,Retailer,Retail,89741 Jaclyn Ports Apt. 659,West Rebecca,NM,67621,Prospect,30931481,5000,2020-09-12
ACC000014,Roberts-Allen,14,Tech,Tech,5172 Kent Plaza,Thompsonshire,AS,67480,Partner,5388191,5000,2021-08-23
ACC000015,Lucas PLC,15,Manufacturing,Manufacturing,576 Burgess Stream,Boydstad,WI,69861,Prospect,41608157,500,2021-01-28
ACC000016,Perez-Crane,16,Retailer,Retail,1580 Martinez Divide Suite 527,South Alicia,ND,40707,Prospect,4767767,10,2021-04-11
ACC000017,Romero-Harvey,17,Tech,Tech,6042 Kevin Heights Apt. 549,New Leslieborough,MO,44461,Partner,5454748,100,2020-07-25
ACC000018,Williams-Rodriguez,18,Manufacturing,Manufacturing,0939 Sarah Causeway Apt. 888,Charlesport,PA,53135,Partner,18754492,2500,2022-01-17
ACC000019,Vargas-Scott,19,Retailer,Retail,8567 Perez Station Suite 170,Murphyfort,CO,92744,Customer,24942424,500,2021-03-05
