opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,1.0,ACC000030,Deal 1,Closed Won,69133.46,100.0,2023-01-05,2022-07-04,Other,New Customer,15862
OPP00000002,2.0,ACC000994,Deal 2,Closed Won,63927.25,100.0,2023-02-24,2021-11-09,Phone Inquiry,Existing Customer - Upgrade,
OPP00000003,3.0,ACC000586,Deal 3,Closed Won,78075.28,100.0,2024-10-04,2021-12-07,Phone Inquiry,New Customer,
OPP00000004,4.0,ACC000353,Deal 4,Closed Won,20903.71,100.0,2022-06-23,2022-04-15,Web,Existing Customer - Replacement,24505
OPP00000005,5.0,ACC000796,Deal 5,Closed Won,165596.69,100.0,2023-12-29,2021-11-02,Partner Referral,Existing Customer - Replacement,
OPP00000006,6.0,ACC000335,Deal 6,Closed Won,31013.96,100.0,2024-02-13,2021-09-01,Other,Existing Customer - Downgrade,
OPP00000007,7.0,ACC000928,Deal 7,Closed Won,133172.83,100.0,2024-04-13,2021-11-05,Web,Existing Customer - Upgrade,
OPP00000008,8.0,ACC000455,Deal 8,Closed Won,216941.42,100.0,2023-03-13,2021-09-18,Purchased List,Existing Customer - Downgrade,
OPP00000009,9.0,ACC000978,Deal 9,Closed Won,87643.3,100.0,2024-09-02,2024-04-21,Purchased List,Existing Customer - Replacement,22295
OPP00000010,10.0,ACC000214,Deal 10,Closed Won,52325.22,100.0,2022-10-16,2021-09-18,Phone Inquiry,Existing Customer - Replacement,
OPP00000011,11.0,ACC000398,Deal 11,Closed Won,21718.8,100.0,2022-08-16,2021-11-28,Partner Referral,New Customer,
OPP00000012,12.0,ACC000551,Deal 12,Closed Won,44974.5,100.0,2022-03-25,2021-09-21,Web,Existing Customer - Upgrade,
OPP00000013,13.0,ACC000976,Deal 13,Closed Won,169554.44,100.0,2025-06-07,2025-04-17,Phone Inquiry,Existing Customer - Upgrade,28589
OPP00000014,14.0,ACC000203,Deal 14,Closed Won,163525.0,100.0,2025-06-19,2021-10-11,Phone Inquiry,Existing Customer - Replacement,
OPP00000015,15.0,ACC000622,Deal 15,Closed Won,22344.31,100.0,2022-09-03,2022-04-28,Other,New Customer,31668
OPP00000016,16.0,ACC000411,Deal 16,Closed Won,43155.43,100.0,2022-03-21,2022-01-04,Purchased List,Existing Customer - Upgrade,8097
OPP00000017,17.0,ACC000531,Deal 17,Closed Won,90271.18,100.0,2023-05-05,2021-10-31,Other,New Customer,
OPP00000018,18.0,ACC000456,Deal 18,Closed Won,90917.86,100.0,2022-01-29,2021-10-28,Partner Referral,Existing Customer - Replacement,
OPP00000019,19.0,ACC000584,Deal 19,Closed Won,182956.24,100.0,2024-10-05,2021-10-12,Purchased List,Existing Customer - Downgrade,
OPP00000020,20.0,ACC000330,Deal 20,Closed Won,77167.84,100.0,2024-12-20,2024-05-02,Purchased List,Existing Customer - Replacement,20335
OPP00000021,21.0,ACC000899,Deal 21,Closed Won,217164.74,100.0,2024-05-16,2021-11-04,Purchased List,Existing Customer - Replacement,
OPP00000022,22.0,ACC000535,Deal 22,Closed Won,9416.36,100.0,2023-11-18,2021-07-29,Other,Existing Customer - Downgrade,
OPP00000023,23.0,ACC000538,Deal 23,Closed Won,41826.96,100.0,2024-10-05,2021-07-31,Web,New Customer,
OPP00000024,24.0,ACC000763,Deal 24,Closed Won,16781.49,100.0,2024-03-04,2023-03-12,Partner Referral,Existing Customer - Replacement,31496
OPP00000025,25.0,ACC000373,Deal 25,Closed Won,140015.74,100.0,2024-01-11,2021-09-21,Web,Existing Customer - Downgrade,
OPP00000026,26.0,ACC000818,Deal 26,Closed Won,15873.82,100.0,2023-01-23,2021-12-03,Partner Referral,Existing Customer - Replacement,
OPP00000027,27.0,ACC000202,Deal 27,Closed Won,193447.29,100.0,2023-02-22,2023-01-13,Partner Referral,Existing Customer - Replacement,3162
OPP00000028,28.0,ACC000384,Deal 28,Closed Won,262061.08,100.0,2023-10-06,2021-10-02,Phone Inquiry,Existing Customer - Upgrade,
OPP00000029,29.0,ACC000550,Deal 29,Closed Won,174799.97,100.0,2023-06-01,2021-07-29,Phone Inquiry,New Customer,
OPP00000030,30.0,ACC000852,Deal 30,Closed Won,99243.71,100.0,2025-02-22,2024-11-30,Partner Referral,Existing Customer - Upgrade,21357
OPP00000031,31.0,ACC000342,Deal 31,Closed Won,63122.86,100.0,2022-09-19,2022-04-20,Purchased List,Existing Customer - Replacement,21208
OPP00000032,32.0,ACC000183,Deal 32,Closed Won,255244.69,100.0,2024-07-31,2024-01-20,Purchased List,Existing Customer - Downgrade,15843
OPP00000033,33.0,ACC000462,Deal 33,Closed Won,83850.94,100.0,2023-03-14,2021-09-07,Web,Existing Customer - Upgrade,
OPP00000034,34.0,ACC000700,Deal 34,Closed Won,26813.12,100.0,2023-01-01,2022-08-25,Phone Inquiry,Existing Customer - Downgrade,19415
OPP00000035,35.0,ACC000341,Deal 35,Closed Won,58109.25,100.0,2025-04-25,2024-09-20,Other,Existing Customer - Replacement,12053
OPP00000036,36.0,ACC000873,Deal 36,Closed Won,18051.35,100.0,2025-01-13,2021-11-15,Other,Existing Customer - Upgrade,
OPP00000037,37.0,ACC000282,Deal 37,Closed Won,306935.09,100.0,2022-04-27,2021-10-06,Web,Existing Customer - Downgrade,
OPP00000038,38.0,ACC000819,Deal 38,Closed Won,154533.63,100.0,2022-08-07,2022-05-07,Partner Referral,Existing Customer - Upgrade,28553
OPP00000039,39.0,ACC000303,Deal 39,Closed Won,167489.03,100.0,2025-07-17,2021-10-01,Web,Existing Customer - Upgrade,
OPP00000040,40.0,ACC000077,Deal 40,Closed Won,194485.23,100.0,2025-03-17,2024-10-09,Phone Inquiry,Existing Customer - Replacement,23229
OPP00000041,41.0,ACC000760,Deal 41,Closed Won,126290.38,100.0,2025-06-30,2021-09-13,Partner Referral,Existing Customer - Replacement,
OPP00000042,42.0,ACC000654,Deal 42,Closed Won,171227.2,100.0,2022-12-02,2022-06-01,Other,Existing Customer - Replacement,13465
OPP00000043,43.0,ACC000424,Deal 43,Closed Won,29248.86,100.0,2022-05-27,2021-08-23,Web,Existing Customer - Downgrade,
OPP00000044,44.0,ACC000081,Deal 44,Closed Won,106013.81,100.0,2024-04-25,2023-12-12,Other,New Customer,22018
OPP00000045,45.0,ACC000713,Deal 45,Closed Won,327818.56,100.0,2024-12-16,2024-01-10,Phone Inquiry,New Customer,20742
OPP00000046,46.0,ACC000979,Deal 46,Closed Won,218282.0,100.0,2023-07-16,2022-08-03,Other,Existing Customer - Replacement,23861
OPP00000047,47.0,ACC000543,Deal 47,Closed Won,158689.58,100.0,2024-12-17,2021-09-04,Web,Existing Customer - Upgrade,
OPP00000048,48.0,ACC000977,Deal 48,Closed Won,109027.83,100.0,2022-02-27,2022-01-16,Phone Inquiry,Existing Customer - Replacement,42130
OPP00000049,49.0,ACC000049,Deal 49,Closed Won,128390.68,100.0,2024-09-08,2024-08-05,Other,Existing Customer - Downgrade,39998
OPP00000050,50.0,ACC000776,Deal 50,Closed Won,21852.79,100.0,2022-03-28,2021-11-12,Partner Referral,Existing Customer - Upgrade,
OPP00000051,51.0,ACC000131,Deal 51,Closed Won,157598.37,100.0,2025-02-26,2024-09-23,Purchased List,Existing Customer - Replacement,48824
OPP00000052,52.0,ACC000185,Deal 52,Closed Won,204623.4,100.0,2023-04-25,2022-07-02,Partner Referral,New Customer,45105
OPP00000053,53.0,ACC000771,Deal 53,Closed Won,56568.86,100.0,2025-02-22,2021-12-28,Purchased List,Existing Customer - Replacement,
OPP00000054,54.0,ACC000569,Deal 54,Closed Won,22535.05,100.0,2022-05-25,2021-10-18,Phone Inquiry,Existing Customer - Upgrade,
OPP00000055,55.0,ACC000586,Deal 55,Closed Won,16713.57,100.0,2024-07-01,2021-08-13,Web,Existing Customer - Upgrade,
