vendor_key,vendor_name,vertical,address,city,state,zip
1,Sullivan and Sons,Retail,8390 Peter Groves Suite 231,Josephhaven,MS,90237
2,"Smith, Sandoval and Parker",Tech,4506 Martin Stravenue Apt. 197,Laurabury,WY,73059
3,"Moore, French and Moore",Manufacturing,17790 Molina Lodge Suite 897,Martinezchester,ID,42953
4,Phillips-Williams,Retail,02373 Carpenter Circle Suite 635,South Tiffanyborough,TX,86246
5,Rivera-Costa,Tech,36580 Le Curve,Brooksbury,AK,47271
6,Peterson LLC,Manufacturing,76525 Chris Flats,New Megan,NV,21695
7,"Butler, Scott and Doyle",Retail,24050 Evan River,East Sandratown,KY,22735
8,Aguilar Inc,Tech,0061 Kelly Valleys Suite 514,Charlesville,MD,78683
9,Larson-Taylor,Manufacturing,12822 Kelly Walks Apt. 053,Lake Donna,NC,70469
10,Barnes-Frey,Retail,030 Contreras Park,Angelaport,AK,17566
11,"Gill, Garcia and Porter",Tech,28474 Butler Viaduct,Lake Melissa,LA,39637
12,"Decker, Schultz and Reed",Manufacturing,86121 Mitchell Manor Suite 018,Erinchester,NE,46371
13,"Harris, Giles and Crawford",Retail,964 Jones View Apt. 897,Lindashire,TX,38275
14,"Bishop, Johnson and Anderson",Tech,8458 Hayden Garden Suite 869,New Chad,AS,12213
15,Perez-Bradshaw,Manufacturing,7153 Murphy Springs,East Christophermouth,OK,92090
16,Scott-Valentine,Retail,09472 Franklin Mountains Suite 809,Amybury,ME,36265
17,Harding Inc,Tech,2282 Scott Springs Apt. 935,Ianfort,WI,24373
18,Davis Group,Manufacturing,49697 Adam Turnpike Suite 852,East Dennis,OR,30730
19,"Stanley, Harper and Herrera",Retail,76818 Bauer Lake Suite 945,West Brandon,OK,65627
20,Salinas-Horn,Tech,709 Samantha Radial Apt. 776,Williamsmouth,AR,48820
21,Foley PLC,Manufacturing,23073 Hill Fields Apt. 409,West Mary,NC,99565
22,"Hubbard, Callahan and Delgado",Retail,54891 Knight Station,Port Lisa,NE,78835
23,Allen Ltd,Tech,9520 Pineda Skyway Suite 291,West Erica,PR,03180
24,Golden-Lewis,Manufacturing,0674 Moore Burg,North Shane,WA,27235
25,Trujillo and Sons,Retail,99559 Martin Lodge Suite 558,South Wendy,MA,23286
26,Cook Group,Tech,0073 Cortez Fords Apt. 193,Port Edwardtown,MO,36397
27,Proctor Group,Manufacturing,3089 Chavez Islands Apt. 368,New Christineborough,AK,00516
28,"Davies, Sanchez and Smith",Retail,95052 John Ports,West Kaitlinport,WY,56163
29,Meyer-Garcia,Tech,475 Tucker Pines Suite 244,Bakerburgh,OR,41662
30,Suarez Ltd,Manufacturing,47813 Bradley Park,West Matthew,OR,44354
31,Huber Group,Retail,95106 Kyle Heights,Lake Amandaville,SC,01325
32,Freeman Ltd,Tech,512 Michael Estate,West Lisa,WA,07902
33,Tucker-Perez,Manufacturing,3858 Lopez Drive Suite 945,Emmabury,TX,39922
34,"Robinson, Dean and Sanchez",Retail,5419 Martinez Manor,Mcbridechester,WI,54712
35,Figueroa Inc,Tech,507 Andrew Ranch Suite 426,Murphyland,WA,41133
36,"Nixon, Gibbs and Wise",Manufacturing,0201 Connie Rapid,Nicoleshire,HI,39004
37,Mejia-Powell,Retail,853 Miller Lakes,South Williamburgh,MI,27005
38,"Pierce, Morris and Marsh",Tech,497 Wolf Inlet,Mooreshire,ME,96361
39,Ramirez Inc,Manufacturing,7910 Sanchez Street Suite 743,Lake Eileenville,KS,59035
40,Brooks-Garcia,Retail,4750 Brandon Ports Apt. 238,East Daniellehaven,IL,73009
41,Ramirez LLC,Tech,33266 Roberts Courts,Port Lisaville,NE,61240
42,Washington Inc,Manufacturing,758 Gonzalez Mill,Andreaborough,MN,72926
43,Cole-Dickerson,Retail,555 Santiago Greens,Derekton,VI,49291
44,Martin and Sons,Tech,52205 Anna Hill,Haleshire,NH,88595
45,"Hamilton, Thomas and Kemp",Manufacturing,014 Timothy Crossing,Mendezside,CA,02731
46,Henderson-Rogers,Retail,041 Patty Stream Suite 299,Rosefort,FL,58658
47,Hopkins-Tanner,Tech,5134 Kathryn Ways,North Susan,ND,13128
48,Curry Group,Manufacturing,696 Chaney Manors Suite 560,South Sarah,NJ,35126
49,"Shaw, Brooks and Deleon",Retail,8733 Keith Port,Lake James,AK,65744
50,"Bowers, Johnson and Matthews",Tech,3728 Brown Rest,Port Cory,MO,60226
51,"Hernandez, Chavez and Simon",Manufacturing,40601 Dawson Grove Apt. 841,Phillipsland,SD,82841
52,Hernandez-Mccann,Retail,105 Tracy Terrace,Grahammouth,NV,92901
53,Armstrong Group,Tech,32907 John Parkways,New Reginastad,WY,90434
54,Smith Ltd,Manufacturing,126 Lucas Ridge,Torresborough,OK,46790
55,"Simmons, Gray and Bridges",Retail,113 Carrie Highway,Port Paulville,OR,92544
56,Williams-Baker,Tech,06045 Jasmin Squares Suite 167,South William,MA,33560
57,Harris-Murray,Manufacturing,5619 David Meadows,Danielsmouth,CO,33550
58,Shields and Sons,Retail,05449 Hodges Overpass Suite 590,Richardport,IA,36656
